preset,coeff,value,baseline,outcome,mechanism,secondary_mechanism,confidence,termination_event,duration_months,decisive_shock_score,strategic_exhaustion_score,political_exhaustion_score
wwi,military_shock_factor,43.75,50.0,negotiated_settlement,strategic exhaustion,decisive shock,0.6017525512261187,negotiated settlement,19,20.8,30.9,15.7
wwi,military_shock_factor,62.5,50.0,negotiated_settlement,strategic exhaustion,decisive shock,0.5977915795238362,negotiated settlement,19,21.2,30.9,15.7
wwi,military_shock_factor,81.25,50.0,negotiated_settlement,strategic exhaustion,decisive shock,0.5938835929567463,negotiated settlement,19,21.5,30.9,15.7
wwi,military_shock_factor,100.0,50.0,negotiated_settlement,strategic exhaustion,decisive shock,0.5900287014711662,negotiated settlement,19,21.8,30.9,15.7
gulf_war_1991,capital_bonus,15.0,30.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,capital_bonus,26.25,30.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,capital_bonus,37.5,30.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,capital_bonus,48.75,30.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,capital_bonus,60.0,30.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
vietnam_war,capital_bonus,15.0,30.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5704851597313894,political/military collapse of side B,17,20.7,27.7,9.1
